"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","16212","Login and save auth session","","2026-05-21","passed","2026-05-21","","01_auth.setup.spec.ts","",""
"","6972","Signup Test #1","","2026-05-21","passed","2026-05-21","Signup with Excel Data","01_signUp.spec.ts","",""
"","1818","Signup with empty email","","2026-05-21","passed","2026-05-21","","01_signUp.spec.ts","",""
"","1977","Invalid email test #1 - abc.com","","2026-05-21","passed","2026-05-21","Invalid email validations","01_signUp.spec.ts","",""
"","1729","Login with empty password","","2026-05-21","passed","2026-05-21","","02_logIn.spec.ts","",""
"","10194","Add products to Cart and verify Cart","","2026-05-21","passed","2026-05-21","","03_product.spec.ts","",""
"","1839","Search Product","","2026-05-21","failed","2026-05-21","","03_product.spec.ts","",""
"","6985","Verify All Products and product detail page","","2026-05-21","passed","2026-05-21","","03_product.spec.ts","",""
"","2561","Password case sensitivity validation","","2026-05-21","passed","2026-05-21","","02_logIn.spec.ts","",""
"","13503","Complete checkout and place order","","2026-05-21","passed","2026-05-21","","03_product.spec.ts","",""
"","3564","Invalid email and invalid password","","2026-05-21","passed","2026-05-21","","02_logIn.spec.ts","",""
"","6051","Verify Women category products page","","2026-05-21","passed","2026-05-21","","03_product.spec.ts","",""
"","5721","Remove product from cart if exists","","2026-05-21","passed","2026-05-21","","03_product.spec.ts","",""
"","1945","Login with empty email","","2026-05-21","passed","2026-05-21","","02_logIn.spec.ts","",""
"","1665","Login with empty email and password","","2026-05-21","passed","2026-05-21","","02_logIn.spec.ts","",""
"","2349","Invalid email test #2 - test@","","2026-05-21","passed","2026-05-21","Invalid email validations","01_signUp.spec.ts","",""
"","5000","Login with perticular user","","2026-05-21","passed","2026-05-21","","02_logIn.spec.ts","",""
"","2684","Invalid email and valid password","","2026-05-21","passed","2026-05-21","","02_logIn.spec.ts","",""
"","4431","Login with latest user credentials","","2026-05-21","passed","2026-05-21","","02_logIn.spec.ts","",""
"","10472","Signup with empty name","","2026-05-21","passed","2026-05-21","","01_signUp.spec.ts","",""
"","2808","Valid email and invalid password","","2026-05-21","passed","2026-05-21","","02_logIn.spec.ts","",""
